Focal,Plot,Pos,Tr,Competitor,Seeds,Neighbors,S_nbs,B_nbs,P_nbs,C_nbs,N_nbs,S,B,P,C,N,S_predict,B_predict,P_predict,C_predict,N_predict
S,42,2,C,B,6922,4,0,4,0,0,0,0,8,0,0,0,0,14.436,0,0,0
S,42,9,H,B,5808,18,0,18,0,0,0,0,8,0,0,0,0,14.436,0,0,0
S,46,3,C,B,3538,2,0,2,0,0,0,0,2,0,0,0,0,3.609,0,0,0
S,46,8,H,B,26718,1,0,1,0,0,0,0,2,0,0,0,0,3.609,0,0,0
S,51,5,H,B,29145,0,0,0,0,0,0,0,1,0,0,0,0,1.8045,0,0,0
S,51,9,C,B,11612,0,0,0,0,0,0,0,1,0,0,0,0,1.8045,0,0,0
S,55,2,C,B,9048,8,0,8,0,0,0,0,1.5,0,0,0,0,2.70675,0,0,0
S,55,7,H,B,15773,2,0,2,0,0,0,0,1.5,0,0,0,0,2.70675,0,0,0
S,60,2,H,B,17914,6,0,6,0,0,0,0,2,0,0,0,0,3.609,0,0,0
S,60,10,C,B,7983,3,0,3,0,0,0,0,2,0,0,0,0,3.609,0,0,0
S,63,3,H,B,19443,7,0,7,0,0,0,0,3.5,0,0,0,0,6.31575,0,0,0
S,63,6,C,B,1559,2,0,2,0,0,0,0,3.5,0,0,0,0,6.31575,0,0,0
S,75,1,H,B,13005,1,0,1,0,0,0,0,1,0,0,0,0,1.8045,0,0,0
S,75,9,C,B,8408,4,0,4,0,0,0,0,1,0,0,0,0,1.8045,0,0,0
S,78,1,C,B,3932,1,0,1,0,0,0,0,1,0,0,0,0,1.8045,0,0,0
S,78,7,H,B,20865,0,0,0,0,0,0,0,1,0,0,0,0,1.8045,0,0,0
S,89,2,H,B,11866,2,0,2,0,0,0,0,3.5,0,0,0,0,6.31575,0,0,0
S,89,7,C,B,1586,2,0,2,0,0,0,0,3.5,0,0,0,0,6.31575,0,0,0
S,93,8,C,B,1296,1,0,1,0,0,0,0,1.5,0,0,0,0,2.70675,0,0,0
S,104,1,C,B,8249,9,0,9,0,0,0,0,3.5,0,0,0,0,6.31575,0,0,0
S,104,8,H,B,10311,3,0,3,0,0,0,0,3.5,0,0,0,0,6.31575,0,0,0
S,107,2,H,B,14427,6,0,6,0,0,0,0,2,0,0,0,0,3.609,0,0,0
S,107,8,C,B,4536,3,0,3,0,0,0,0,2,0,0,0,0,3.609,0,0,0
S,111,3,H,B,11474,2,0,2,0,0,0,0,1.5,0,0,0,0,2.70675,0,0,0
S,111,8,C,B,7140,6,0,6,0,0,0,0,1.5,0,0,0,0,2.70675,0,0,0
S,114,1,C,B,136,20,0,20,0,0,0,0,8,0,0,0,0,14.436,0,0,0
S,114,8,H,B,1038,20,0,20,0,0,0,0,8,0,0,0,0,14.436,0,0,0
S,115,1,C,B,0,18,0,18,0,0,0,0,8,0,0,0,0,14.436,0,0,0
S,115,10,H,B,279,12,0,12,0,0,0,0,8,0,0,0,0,14.436,0,0,0
S,41,2,H,C,11008,4,0,0,0,4,0,0,0,0,4,0,0,0,0,5.9636,0
S,41,7,C,C,893,5,0,0,0,5,0,0,0,0,4,0,0,0,0,5.9636,0
S,58,4,C,C,191,8,0,0,0,8,0,0,0,0,8,0,0,0,0,11.9272,0
S,58,8,H,C,7996,12,0,0,0,12,0,0,0,0,8,0,0,0,0,11.9272,0
S,61,3,H,C,2463,16,0,0,0,16,0,0,0,0,10,0,0,0,0,14.909,0
S,61,7,C,C,792,6,0,0,0,6,0,0,0,0,10,0,0,0,0,14.909,0
S,65,4,C,C,982,13,0,0,0,13,0,0,0,0,10,0,0,0,0,14.909,0
S,65,6,H,C,1111,10,0,0,0,10,0,0,0,0,10,0,0,0,0,14.909,0
S,69,4,C,C,680,7,0,0,0,7,0,0,0,0,4,0,0,0,0,5.9636,0
S,69,10,H,C,6692,5,0,0,0,5,0,0,0,0,4,0,0,0,0,5.9636,0
S,77,5,H,C,4989,2,0,0,0,2,0,0,0,0,4,0,0,0,0,5.9636,0
S,77,10,C,C,1542,2,0,0,0,2,0,0,0,0,4,0,0,0,0,5.9636,0
S,80,1,H,C,15128,5,0,0,0,5,0,0,0,0,8,0,0,0,0,11.9272,0
S,80,7,C,C,598,1,0,0,0,1,0,0,0,0,8,0,0,0,0,11.9272,0
S,87,4,C,C,205,17,0,0,0,17,0,0,0,0,8,0,0,0,0,11.9272,0
S,87,6,H,C,1524,13,0,0,0,13,0,0,0,0,8,0,0,0,0,11.9272,0
S,96,4,H,C,1416,16,0,0,0,16,0,0,0,0,6,0,0,0,0,8.9454,0
S,96,9L,C,C,371,15,0,0,0,15,0,0,0,0,6,0,0,0,0,8.9454,0
S,96,9R,C,C,252,15,0,0,0,15,0,0,0,0,6,0,0,0,0,8.9454,0
S,98,5,C,C,2584,3,0,0,0,3,0,0,0,0,2,0,0,0,0,2.9818,0
S,98,10,H,C,9027,9,0,0,0,9,0,0,0,0,2,0,0,0,0,2.9818,0
S,103,1,H,C,3003,41,0,0,0,41,0,0,0,0,6,0,0,0,0,8.9454,0
S,105,5,C,C,2400,6,0,0,0,6,0,0,0,0,6,0,0,0,0,8.9454,0
S,105,6,H,C,4469,7,0,0,0,7,0,0,0,0,6,0,0,0,0,8.9454,0
S,113,5,C,C,3806,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2.9818,0
S,113,7,H,C,13580,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2.9818,0
S,118,9,C,C,3435,3,0,0,0,3,0,0,0,0,2,0,0,0,0,2.9818,0
S,120,5,C,C,2440,9,0,0,0,9,0,0,0,0,10,0,0,0,0,14.909,0
S,120,7,H,C,441,24,0,0,0,24,0,0,0,0,10,0,0,0,0,14.909,0
S,45,4,H,Focals,30820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,45,10,C,Focals,41694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,53,4,H,Focals,65231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,53,10,C,Focals,33567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,67,3,C,Focals,33177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,67,6,H,Focals,34963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,86,4,H,Focals,33461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,86,10,C,Focals,30981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,101,4,H,Focals,26505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,101,6,C,Focals,45150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,43,1,H,N,28742,9,0,0,0,0,9,0,0,0,0,7.5,0,0,0,0,10.52175
S,43,7,C,N,24817,7,0,0,0,0,7,0,0,0,0,7.5,0,0,0,0,10.52175
S,47,5,H,N,30177,15,0,0,0,0,15,0,0,0,0,7.5,0,0,0,0,10.52175
S,47,9,C,N,12770,19,0,0,0,0,19,0,0,0,0,7.5,0,0,0,0,10.52175
S,52,3,C,N,21550,13,0,0,0,0,13,0,0,0,0,5.5,0,0,0,0,7.71595
S,52,6,H,N,31572,10,0,0,0,0,10,0,0,0,0,5.5,0,0,0,0,7.71595
S,54,1,C,N,32338,5,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2.8058
S,56,1,C,N,33975,1,0,0,0,0,1,0,0,0,0,5.5,0,0,0,0,7.71595
S,56,10,H,N,35814,4,0,0,0,0,4,0,0,0,0,5.5,0,0,0,0,7.71595
S,64,2,H,N,23838,4,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2.8058
S,64,10,C,N,16743,14,0,0,0,0,14,0,0,0,0,2,0,0,0,0,2.8058
S,68,5,H,N,15274,1,0,0,0,0,1,0,0,0,0,5.5,0,0,0,0,7.71595
S,68,6,C,N,15724,3,0,0,0,0,3,0,0,0,0,5.5,0,0,0,0,7.71595
S,73,3,H,N,7935,36,0,0,0,0,36,0,0,0,0,9.5,0,0,0,0,13.32755
S,73,7,C,N,3455,6,0,0,0,0,6,0,0,0,0,9.5,0,0,0,0,13.32755
S,82,3,H,N,12557,8,0,0,0,0,8,0,0,0,0,9.5,0,0,0,0,13.32755
S,82,10,C,N,12597,4,0,0,0,0,4,0,0,0,0,9.5,0,0,0,0,13.32755
S,84,5,C,N,21470,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5.6116
S,84,6,H,N,26359,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5.6116
S,91,3,H,N,9709,5,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5.6116
S,91,8,C,N,16374,6,0,0,0,0,6,0,0,0,0,4,0,0,0,0,5.6116
S,99,4,C,N,15261,11,0,0,0,0,11,0,0,0,0,9.5,0,0,0,0,13.32755
S,99,9,H,N,25507,10,0,0,0,0,10,0,0,0,0,9.5,0,0,0,0,13.32755
S,110,4,H,N,28072,9,0,0,0,0,9,0,0,0,0,2,0,0,0,0,2.8058
S,110,9,C,N,27542,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.8058
S,117,4,H,N,17860,5,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5.6116
S,117,10,C,N,340,9,0,0,0,0,9,0,0,0,0,4,0,0,0,0,5.6116
S,119,3,C,N,10761,18,0,0,0,0,18,0,0,0,0,7.5,0,0,0,0,10.52175
S,119,6,H,N,12220,8,0,0,0,0,8,0,0,0,0,7.5,0,0,0,0,10.52175
S,44,3,H,P,228,152,0,0,152,0,0,0,0,12,0,0,0,0,50,0,0
S,44,7,C,P,568,80,0,0,80,0,0,0,0,12,0,0,0,0,50,0,0
S,49,5,C,P,670,133,0,0,133,0,0,0,0,16,0,0,0,0,100,0,0
S,49,8,H,P,1385,199,0,0,199,0,0,0,0,16,0,0,0,0,100,0,0
S,59,2,H,P,4014,25,0,0,25,0,0,0,0,6,0,0,0,0,10,0,0
S,59,7,C,P,2891,51,0,0,51,0,0,0,0,6,0,0,0,0,10,0,0
S,66,5,H,P,145,112,0,0,112,0,0,0,0,16,0,0,0,0,100,0,0
S,66,10,C,P,586,119,0,0,119,0,0,0,0,16,0,0,0,0,100,0,0
S,71,2,C,P,109,56,0,0,56,0,0,0,0,8,0,0,0,0,20,0,0
S,71,10,H,P,90,106,0,0,106,0,0,0,0,8,0,0,0,0,20,0,0
S,76,5,C,P,398,136,0,0,136,0,0,0,0,16,0,0,0,0,100,0,0
S,76,9,H,P,95,204,0,0,204,0,0,0,0,16,0,0,0,0,100,0,0
S,81,2,C,P,87,76,0,0,76,0,0,0,0,8,0,0,0,0,20,0,0
S,81,9,H,P,59,59,0,0,59,0,0,0,0,8,0,0,0,0,20,0,0
S,83,2,H,P,765,55,0,0,55,0,0,0,0,6,0,0,0,0,10,0,0
S,83,8,C,P,649,51,0,0,51,0,0,0,0,6,0,0,0,0,10,0,0
S,85,3,C,P,38,322,0,0,322,0,0,0,0,12,0,0,0,0,50,0,0
S,85,7,H,P,733,144,0,0,144,0,0,0,0,12,0,0,0,0,50,0,0
S,88,5,H,P,6830,38,0,0,38,0,0,0,0,4,0,0,0,0,5,0,0
S,88,10,C,P,5589,19,0,0,19,0,0,0,0,4,0,0,0,0,5,0,0
S,95,5,C,P,5017,57,0,0,57,0,0,0,0,4,0,0,0,0,5,0,0
S,95,6,H,P,4983,29,0,0,29,0,0,0,0,4,0,0,0,0,5,0,0
S,97,1,H,P,109,162,0,0,162,0,0,0,0,12,0,0,0,0,50,0,0
S,97,8,C,P,85,256,0,0,256,0,0,0,0,12,0,0,0,0,50,0,0
S,100,1,C,P,609,106,0,0,106,0,0,0,0,8,0,0,0,0,20,0,0
S,100,7,H,P,528,61,0,0,61,0,0,0,0,8,0,0,0,0,20,0,0
S,102,4,C,P,256,15,0,0,15,0,0,0,0,6,0,0,0,0,10,0,0
S,102,6,H,P,1196,43,0,0,43,0,0,0,0,6,0,0,0,0,10,0,0
S,112,2,C,P,5728,36,0,0,36,0,0,0,0,4,0,0,0,0,5,0,0
S,112,10,H,P,6849,20,0,0,20,0,0,0,0,4,0,0,0,0,5,0,0
S,48,4,H,S,6385,14,14,0,0,0,0,8,0,0,0,0,19.6112,0,0,0,0
S,48,6,C,S,995,11,11,0,0,0,0,8,0,0,0,0,19.6112,0,0,0,0
S,50,2,H,S,896,24,24,0,0,0,0,20,0,0,0,0,49.028,0,0,0,0
S,50,6,C,S,308,51,51,0,0,0,0,20,0,0,0,0,49.028,0,0,0,0
S,57,5,H,S,135,59,59,0,0,0,0,20,0,0,0,0,49.028,0,0,0,0
S,57,10,C,S,278,42,42,0,0,0,0,20,0,0,0,0,49.028,0,0,0,0
S,62,2,H,S,1032,59,59,0,0,0,0,8,0,0,0,0,19.6112,0,0,0,0
S,62,8,C,S,1171,17,17,0,0,0,0,8,0,0,0,0,19.6112,0,0,0,0
S,70,5,H,S,7824,12,12,0,0,0,0,4,0,0,0,0,9.8056,0,0,0,0
S,70,9,C,S,1232,26,26,0,0,0,0,4,0,0,0,0,9.8056,0,0,0,0
S,72,1,C,S,835,42,42,0,0,0,0,12,0,0,0,0,29.4168,0,0,0,0
S,72,6,H,S,148,60,60,0,0,0,0,12,0,0,0,0,29.4168,0,0,0,0
S,74,4,C,S,918,25,25,0,0,0,0,16,0,0,0,0,39.2224,0,0,0,0
S,74,10,H,S,217,32,32,0,0,0,0,16,0,0,0,0,39.2224,0,0,0,0
S,79,3,C,S,169,48,48,0,0,0,0,16,0,0,0,0,39.2224,0,0,0,0
S,79,6,H,S,787,34,34,0,0,0,0,16,0,0,0,0,39.2224,0,0,0,0
S,90,5,C,S,316,50,50,0,0,0,0,16,0,0,0,0,39.2224,0,0,0,0
S,90,8,H,S,164,28,28,0,0,0,0,16,0,0,0,0,39.2224,0,0,0,0
S,92,3,H,S,3277,18,18,0,0,0,0,8,0,0,0,0,19.6112,0,0,0,0
S,92,10,C,S,1349,18,18,0,0,0,0,8,0,0,0,0,19.6112,0,0,0,0
S,94,2,C,S,395,48,48,0,0,0,0,20,0,0,0,0,49.028,0,0,0,0
S,94,9,H,S,213,53,53,0,0,0,0,20,0,0,0,0,49.028,0,0,0,0
S,106,3,C,S,1065,20,20,0,0,0,0,12,0,0,0,0,29.4168,0,0,0,0
S,106,7,H,S,1379,26,26,0,0,0,0,12,0,0,0,0,29.4168,0,0,0,0
S,108,1,C,S,871,4,4,0,0,0,0,4,0,0,0,0,9.8056,0,0,0,0
S,108,9,H,S,10287,44,44,0,0,0,0,4,0,0,0,0,9.8056,0,0,0,0
S,109,5,H,S,422,26,26,0,0,0,0,12,0,0,0,0,29.4168,0,0,0,0
S,109,7,C,S,218,27,27,0,0,0,0,12,0,0,0,0,29.4168,0,0,0,0
S,116,2,C,S,104,10,10,0,0,0,0,4,0,0,0,0,9.8056,0,0,0,0
B,42,4,C,B,1250,4,0,4,0,0,0,0,7.95,0,0,0,0,7.70673,0,0,0
B,42,8,H,B,761,5,0,5,0,0,0,0,7.95,0,0,0,0,7.70673,0,0,0
B,46,4,C,B,2010,4,0,4,0,0,0,0,2,0,0,0,0,1.9388,0,0,0
B,46,9,H,B,2694,1,0,1,0,0,0,0,2,0,0,0,0,1.9388,0,0,0
B,51,7,H,B,2430,1,0,1,0,0,0,0,1,0,0,0,0,0.9694,0,0,0
B,51,10,C,B,4742,2,0,2,0,0,0,0,1,0,0,0,0,0.9694,0,0,0
B,55,3,H,B,1692,2,0,2,0,0,0,0,1.5,0,0,0,0,1.4541,0,0,0
